text,person,ent_start,ent_end,label,QID
"Taylor then said: ""They were surprised but they didn't make it easy. I still had to re-audition. Thankfully, Kristen was like, 'You're not reading with any casting director. You're doing that with me.'",Taylor Lautner,0,1,TAYLOR_LAUTNER,Q23359
"Since The Twilight Saga released its last film in 2012, Taylor has continued to act.",Taylor Lautner,11,12,TAYLOR_LAUTNER,Q23359
Taylor began his career by appearing in comedy shows such as The Bernie Mac Show and My Wife and Kids but rose to fame for his role as Jacob Black in the Twilight franchise.,Taylor Lautner,0,1,TAYLOR_LAUTNER,Q23359
"Taylor's acting career took a dip after the Twilight series ended, as he was unable to avoid being typecast due to the shadow that the trilogy cast over his future.",Taylor Lautner,0,1,TAYLOR_LAUTNER,Q23359
Taylor made it clear in interviews that acting wasn't his only source of happiness.,Taylor Lautner,0,1,TAYLOR_LAUTNER,Q23359
Taylor once alluded to the fact that he felt pigeonholed by his role as Jacob Black.,Taylor Lautner,0,1,TAYLOR_LAUTNER,Q23359
Here’s what’s happened to Taylor 10 years after ‘Twilight’,Taylor Lautner,6,7,TAYLOR_LAUTNER,Q23359
New Image Shows Taylor on the Set of Abduction,Taylor Lautner,3,4,TAYLOR_LAUTNER,Q23359
"Here’s a nice little treat for all your Taylor fans out there as Total Film have released this new image from his latest movie, Abduction.",Taylor Lautner,9,10,TAYLOR_LAUTNER,Q23359
Why Hollywood Still Won't Cast Taylor,Taylor Lautner,6,7,TAYLOR_LAUTNER,Q23359
"Although Taylor got his acting start at an early age (hello, Sharkboy), it was the ""Twilight"" franchise that made him an overnight star as the werewolf with the golden abs, er, heart of gold.",Taylor Lautner,1,2,TAYLOR_LAUTNER,Q23359
"Because although Taylor co-stars, like Kristen Stewart and Robert Pattinson, have gone on to somewhat successfully distance themselves from the series, he hasn't been as lucky",Taylor Lautner,2,3,TAYLOR_LAUTNER,Q23359
Taylor second attempt at a leading role didn't even get a theatrical release,Taylor Lautner,0,1,TAYLOR_LAUTNER,Q23359
"As an ambassador and investor, Taylor aims to further establish the Pod as a key tool for all up-and-coming tennis players to use as they train",Taylor Fritz,6,7,TAYLOR_FRITZ,Q17660516
Taylor successfully defends Delray Beach title,Taylor Fritz,0,1,TAYLOR_FRITZ,Q17660516
